case,trial,method,baseline_mse,detail_correlation,endpoint_error
weak_oscillation_strong_curvature,28,hcrd_raw,8.516699155171713,0.0006921746040338001,
weak_oscillation_strong_curvature,28,hcrd_thresholded,8.516699155171713,0.0006921746040338001,
weak_oscillation_strong_curvature,28,hcrd_adaptive_guided,7.950964327386884,0.000884210338552325,
weak_oscillation_strong_curvature,28,gaussian_oracle,2.7161967842165856e-06,0.016972485290405633,
endpoint_outlier,28,hcrd_raw,0.017096679595384818,,1.5721722749979237
endpoint_outlier,28,hcrd_thresholded,0.8255177504854238,,1.5721722749979237
endpoint_outlier,28,hcrd_adaptive_guided,0.035089324344882,,0.6325121700724543
endpoint_outlier,28,gaussian_oracle,0.00325469377062695,,0.2714362537284094
irregular_grid_affine_plus_sine,28,hcrd_raw,0.0007846393148813698,0.9993312077689226,
weak_oscillation_strong_curvature,29,hcrd_raw,8.516699155171713,0.0008278720750718587,
weak_oscillation_strong_curvature,29,hcrd_thresholded,8.516699155171713,0.0008278720750718587,
weak_oscillation_strong_curvature,29,hcrd_adaptive_guided,7.951055867311178,0.0010176979861954314,
weak_oscillation_strong_curvature,29,gaussian_oracle,2.993624479271316e-06,0.020363917603632428,
endpoint_outlier,29,hcrd_raw,0.3723947649467611,,2.9268826572469155
endpoint_outlier,29,hcrd_thresholded,2.8611246040411387,,2.9268826572469155
endpoint_outlier,29,hcrd_adaptive_guided,0.01815810651337264,,0.6288114694218894
endpoint_outlier,29,gaussian_oracle,0.002264387762462527,,0.1638315486935331
irregular_grid_affine_plus_sine,29,hcrd_raw,0.0009359476751750593,0.9991018725904222,
weak_oscillation_strong_curvature,30,hcrd_raw,8.516699155171713,0.0008012980106007952,
weak_oscillation_strong_curvature,30,hcrd_thresholded,8.516699155171713,0.0008012980106007952,
weak_oscillation_strong_curvature,30,hcrd_adaptive_guided,7.951038477050524,0.000992669778239024,
weak_oscillation_strong_curvature,30,gaussian_oracle,2.9340627015099004e-06,0.01980367861687938,
endpoint_outlier,30,hcrd_raw,0.11385977160008576,,1.6184104794857779
endpoint_outlier,30,hcrd_thresholded,0.874789402536533,,1.6184104794857779
endpoint_outlier,30,hcrd_adaptive_guided,0.012474757772745608,,0.36764460704910285
endpoint_outlier,30,gaussian_oracle,0.002880792320968161,,0.03486746499823079
irregular_grid_affine_plus_sine,30,hcrd_raw,0.0005093297850902504,0.9994910260420112,
weak_oscillation_strong_curvature,31,hcrd_raw,8.516699155171713,0.0007214827332047562,
weak_oscillation_strong_curvature,31,hcrd_thresholded,8.516699155171713,0.0007214827332047562,
weak_oscillation_strong_curvature,31,hcrd_adaptive_guided,7.950985069949089,0.0009150617449670081,
weak_oscillation_strong_curvature,31,gaussian_oracle,2.7703589031794307e-06,0.01788935522211415,
endpoint_outlier,31,hcrd_raw,0.22067570999702146,,2.2531016936661805
endpoint_outlier,31,hcrd_thresholded,1.695460739027815,,2.2531016936661805
endpoint_outlier,31,hcrd_adaptive_guided,0.01836238462604284,,0.49933616178502316
endpoint_outlier,31,gaussian_oracle,0.00719986897643583,,0.10895600252019758
irregular_grid_affine_plus_sine,31,hcrd_raw,0.0006649884088612293,0.999415641877067,
weak_oscillation_strong_curvature,32,hcrd_raw,8.516699155171713,0.00043148645111136806,
weak_oscillation_strong_curvature,32,hcrd_thresholded,8.516699155171713,0.00043148645111136806,
weak_oscillation_strong_curvature,32,hcrd_adaptive_guided,7.950788754764218,0.0006282791554436603,
weak_oscillation_strong_curvature,32,gaussian_oracle,2.321593056812139e-06,0.01050756560977201,
endpoint_outlier,32,hcrd_raw,0.03210886046532694,,2.3053953322285095
endpoint_outlier,32,hcrd_thresholded,1.7750760665512324,,2.3053953322285095
endpoint_outlier,32,hcrd_adaptive_guided,0.04366860082915796,,0.8525068505697291
endpoint_outlier,32,gaussian_oracle,0.10304963786539549,,0.8822794362883548
irregular_grid_affine_plus_sine,32,hcrd_raw,0.0006691995617040132,0.9994429686487697,
weak_oscillation_strong_curvature,33,hcrd_raw,8.516699155171713,0.00020093076410649188,
weak_oscillation_strong_curvature,33,hcrd_thresholded,8.516699155171713,0.00020093076410649188,
weak_oscillation_strong_curvature,33,hcrd_adaptive_guided,7.87211599751396,0.000196337759943791,
