latent_index,max_quadratic_guide_l2_ratio,max_quadratic_hard_l2_ratio,median_pairwise_knot_jaccard,method,noise_sigma
19,,,1.0,hcrd_adaptive_guided,0.05
19,0.241519386430829,0.2715794793679189,1.0,hcrd_quadratic_guided,0.05
20,,,0.9606299212598425,hcrd_raw,0.05
20,,,1.0,hcrd_robust,0.05
20,,,0.6,hcrd_gaussian_guided,0.05
20,,,1.0,hcrd_adaptive_guided,0.05
20,0.296941988460352,0.6444780379525898,1.0,hcrd_quadratic_guided,0.05
21,,,0.9444444444444444,hcrd_raw,0.05
21,,,1.0,hcrd_robust,0.05
21,,,0.6875,hcrd_gaussian_guided,0.05
21,,,1.0,hcrd_adaptive_guided,0.05
21,0.36598400610881343,0.7971812536029708,1.0,hcrd_quadratic_guided,0.05
22,,,0.944,hcrd_raw,0.05
22,,,1.0,hcrd_robust,0.05
22,,,0.6428571428571429,hcrd_gaussian_guided,0.05
22,,,1.0,hcrd_adaptive_guided,0.05
22,0.2565841878276317,0.4792148696344023,1.0,hcrd_quadratic_guided,0.05
23,,,0.937007874015748,hcrd_raw,0.05
23,,,1.0,hcrd_robust,0.05
23,,,0.47619047619047616,hcrd_gaussian_guided,0.05
23,,,1.0,hcrd_adaptive_guided,0.05
23,0.26449026321717684,0.47042225428598256,1.0,hcrd_quadratic_guided,0.05
24,,,0.9523809523809523,hcrd_raw,0.05
24,,,1.0,hcrd_robust,0.05
24,,,0.391304347826087,hcrd_gaussian_guided,0.05
24,,,1.0,hcrd_adaptive_guided,0.05
24,0.25527025759942057,0.6040333041704018,1.0,hcrd_quadratic_guided,0.05
25,,,0.936,hcrd_raw,0.05
25,,,1.0,hcrd_robust,0.05
25,,,0.5882352941176471,hcrd_gaussian_guided,0.05
25,,,1.0,hcrd_adaptive_guided,0.05
25,0.30003559717856526,0.6843691751687639,1.0,hcrd_quadratic_guided,0.05
26,,,0.944,hcrd_raw,0.05
26,,,1.0,hcrd_robust,0.05
26,,,0.4,hcrd_gaussian_guided,0.05
26,,,1.0,hcrd_adaptive_guided,0.05
26,0.29786773451778026,0.4916012304625003,1.0,hcrd_quadratic_guided,0.05
27,,,0.937007874015748,hcrd_raw,0.05
27,,,1.0,hcrd_robust,0.05
27,,,0.45454545454545453,hcrd_gaussian_guided,0.05
27,,,1.0,hcrd_adaptive_guided,0.05
27,0.2796712648923944,0.5793648458966184,1.0,hcrd_quadratic_guided,0.05
28,,,0.936,hcrd_raw,0.05
28,,,1.0,hcrd_robust,0.05
28,,,0.6,hcrd_gaussian_guided,0.05
28,,,1.0,hcrd_adaptive_guided,0.05
28,0.3511820299338141,0.5766324845395089,1.0,hcrd_quadratic_guided,0.05
29,,,0.9448818897637795,hcrd_raw,0.05
29,,,1.0,hcrd_robust,0.05
29,,,0.375,hcrd_gaussian_guided,0.05
29,,,1.0,hcrd_adaptive_guided,0.05
29,0.2852126182836099,0.3154856753843557,1.0,hcrd_quadratic_guided,0.05
0,,,0.952755905511811,hcrd_raw,0.1
0,,,1.0,hcrd_robust,0.1
0,,,0.24390243902439024,hcrd_gaussian_guided,0.1
0,,,1.0,hcrd_adaptive_guided,0.1
0,0.29929739627314406,0.38270607518390576,1.0,hcrd_quadratic_guided,0.1
1,,,0.9603174603174603,hcrd_raw,0.1
1,,,1.0,hcrd_robust,0.1
1,,,0.30303030303030304,hcrd_gaussian_guided,0.1
1,,,1.0,hcrd_adaptive_guided,0.1
1,0.2456612175509934,0.34139902811918604,1.0,hcrd_quadratic_guided,0.1
2,,,0.9444444444444444,hcrd_raw,0.1
2,,,1.0,hcrd_robust,0.1
2,,,0.28125,hcrd_gaussian_guided,0.1
2,,,1.0,hcrd_adaptive_guided,0.1
2,0.31681382085731563,0.38321787339317015,1.0,hcrd_quadratic_guided,0.1
3,,,0.9444444444444444,hcrd_raw,0.1
3,,,1.0,hcrd_robust,0.1
3,,,0.2647058823529412,hcrd_gaussian_guided,0.1
3,,,1.0,hcrd_adaptive_guided,0.1
3,0.29296408636621896,0.3696978552895459,1.0,hcrd_quadratic_guided,0.1
4,,,0.9596774193548387,hcrd_raw,0.1
4,,,1.0,hcrd_robust,0.1
4,,,0.3103448275862069,hcrd_gaussian_guided,0.1
4,,,1.0,hcrd_adaptive_guided,0.1
4,0.26524411596795466,0.3802253724733612,1.0,hcrd_quadratic_guided,0.1
5,,,0.9606299212598425,hcrd_raw,0.1
5,,,1.0,hcrd_robust,0.1
5,,,0.2564102564102564,hcrd_gaussian_guided,0.1
5,,,1.0,hcrd_adaptive_guided,0.1
5,0.28239395331064104,0.43053598607614907,1.0,hcrd_quadratic_guided,0.1
6,,,0.9448818897637795,hcrd_raw,0.1
6,,,1.0,hcrd_robust,0.1
6,,,0.3157894736842105,hcrd_gaussian_guided,0.1
6,,,1.0,hcrd_adaptive_guided,0.1
6,0.26663822701199685,0.4014414457128836,1.0,hcrd_quadratic_guided,0.1
7,,,0.9444444444444444,hcrd_raw,0.1
7,,,1.0,hcrd_robust,0.1
7,,,0.2894736842105263,hcrd_gaussian_guided,0.1
7,,,1.0,hcrd_adaptive_guided,0.1
7,0.28852501881106596,0.40561108870336093,1.0,hcrd_quadratic_guided,0.1
8,,,0.9448818897637795,hcrd_raw,0.1
8,,,1.0,hcrd_robust,0.1
8,,,0.2972972972972973,hcrd_gaussian_guided,0.1
8,,,1.0,hcrd_adaptive_guided,0.1
8,0.30430906833869764,0.4685454522353843,1.0,hcrd_quadratic_guided,0.1
9,,,0.9603174603174603,hcrd_raw,0.1
9,,,1.0,hcrd_robust,0.1
