configuration,join_ratio,curvature_ratio,certified_region,trials,aware_exact_probability,aware_wilson_low,aware_wilson_high,naive_exact_probability,naive_wilson_low,naive_wilson_high,aware_minus_naive_exact,aware_mean_knot_f1,naive_mean_knot_f1,aware_mean_localisation_error_widths,naive_mean_localisation_error_widths,theorem_implication_violations,noise_only_theorem_implication_violations
"K=8,m=16,n=129",0.5,2.25,0,1000,0.993,0.9856216845342334,0.9966051315990092,1.0,0.996173241514445,1.0,-0.007,0.999,1.0,0.0004375,0.0,0,0
"K=8,m=16,n=129",0.5,2.5,0,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.5,2.75,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.5,3.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.5,3.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.5,4.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.5,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",1.0,1.5,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.965,0.9517133776255466,0.9747277369828871,-0.965,0.00022222222222222223,0.9948571428571429,5.57625,0.002375,0,0
"K=8,m=16,n=129",1.0,2.0,0,1000,0.002,0.000548643588120728,0.007262807863492177,1.0,0.996173241514445,1.0,-0.998,0.3365714285714286,1.0,0.158875,0.0,0,0
"K=8,m=16,n=129",1.0,2.25,0,1000,0.203,0.17922817876013142,0.2290449157802884,1.0,0.996173241514445,1.0,-0.797,0.8094285714285714,1.0,0.07675,0.0,0,0
"K=8,m=16,n=129",1.0,2.5,0,1000,0.873,0.8509252474282143,0.8922199907415616,1.0,0.996173241514445,1.0,-0.127,0.9807142857142858,1.0,0.009875,0.0,0,0
"K=8,m=16,n=129",1.0,2.75,0,1000,0.999,0.9943574414020421,0.9998234536293739,1.0,0.996173241514445,1.0,-0.001,0.9998571428571429,1.0,6.25e-05,0.0,0,0
"K=8,m=16,n=129",1.0,3.0,0,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",1.0,3.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",1.0,4.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
