noise_sigma,latent_index,method,mean_pairwise_jaccard,mean_knot_count,mean_target_knot_f1,mean_pointwise_baseline_variance
0.03,2,hcrd_robust,1.0,2.0,0.0,0.0003355690509544377
0.03,2,hcrd_guided,0.8826469826469826,10.7,0.2019607843137255,0.010910747419467766
0.03,2,hcrd_adaptive_guided,1.0,9.0,0.2857142857142857,0.000375297792788013
0.03,3,hcrd_raw,0.927032884509578,121.1,0.11105965055150646,0.0006533312897095744
0.03,3,hcrd_robust,1.0,2.0,0.0,0.0008197070324829663
0.03,3,hcrd_guided,0.9320512820512821,11.1,0.6338235294117647,0.0063943744732063695
0.03,3,hcrd_adaptive_guided,1.0,9.0,0.7,0.0009418369482534681
0.03,4,hcrd_raw,0.9292037292565843,121.3,0.10609407716102255,0.0006557668853089396
0.03,4,hcrd_robust,1.0,2.0,0.0,0.0006426126621494714
0.03,4,hcrd_guided,0.8416910866910866,11.6,0.43661764705882355,0.01486206159884549
0.03,4,hcrd_adaptive_guided,1.0,9.0,0.4714285714285714,0.0006078048661542783
0.03,5,hcrd_raw,0.9247384717207591,120.1,0.1007421287327788,0.0006512730679617337
0.03,5,hcrd_robust,0.9333333333333333,2.1,0.0,0.04598782048701005
0.03,5,hcrd_guided,0.968945868945869,11.1,0.1625,0.008914934757615307
0.03,5,hcrd_adaptive_guided,1.0,9.0,0.19999999999999996,0.001299122072745139
0.03,6,hcrd_raw,0.9403974095119503,121.7,0.11051105952341105,0.0006188452044547391
0.03,6,hcrd_robust,1.0,2.0,0.0,0.0011209427032991286
0.03,6,hcrd_guided,0.8390479890479889,11.0,0.5279901960784313,0.008360441178267822
0.03,6,hcrd_adaptive_guided,1.0,9.0,0.6142857142857142,0.00090921626935986
0.03,7,hcrd_raw,0.9289027301341461,120.7,0.10818144279755797,0.0006538579487040312
0.03,7,hcrd_robust,0.9333333333333333,2.1,0.025,0.002800062105672119
0.03,7,hcrd_guided,0.8708180708180707,11.3,0.2720588235294118,0.014274878935089504
0.03,7,hcrd_adaptive_guided,1.0,9.0,0.42857142857142855,0.0005440746070871002
0.03,8,hcrd_raw,0.9289049058714751,120.9,0.11124423708997673,0.0005681471408061522
0.03,8,hcrd_robust,1.0,2.0,0.0,0.0007809974921448631
0.03,8,hcrd_guided,0.8236411736411736,10.7,0.4341666666666667,0.005689659398011767
0.03,8,hcrd_adaptive_guided,1.0,9.0,0.5428571428571428,0.0006475820698681065
0.03,9,hcrd_raw,0.9095556400018936,119.9,0.11215717163578873,0.0006153314201767721
0.03,9,hcrd_robust,0.9333333333333331,2.1,0.0,0.03536224639437137
0.03,9,hcrd_guided,0.9028878528878528,11.0,0.537892156862745,0.008022326729765144
0.03,9,hcrd_adaptive_guided,0.9822222222222221,9.0,0.6428571428571428,0.0016292291582328468
0.03,10,hcrd_raw,0.9204985635285027,119.3,0.10940768435422095,0.0006542519695397306
0.03,10,hcrd_robust,1.0,2.0,0.0,0.000610741887346275
0.03,10,hcrd_guided,0.9601657601657602,10.9,0.5158333333333334,0.0036112737198777155
0.03,10,hcrd_adaptive_guided,0.9955555555555555,9.0,0.5285714285714286,0.0019074207210871626
0.03,11,hcrd_raw,0.9344094791373605,121.0,0.10951774401113401,0.0006262438492802075
0.03,11,hcrd_robust,1.0,2.0,0.0,0.0004255332028975127
0.03,11,hcrd_guided,0.9017223517223516,11.0,0.44882352941176473,0.006712873362566038
0.03,11,hcrd_adaptive_guided,0.9777777777777777,9.0,0.4714285714285714,0.0013835775195149406
0.03,12,hcrd_raw,0.9220039101022696,119.8,0.10576576146131973,0.0006627616508747841
0.03,12,hcrd_robust,1.0,2.0,0.0,0.00039498155153457716
0.03,12,hcrd_guided,0.8829651829651829,10.4,0.36499999999999994,0.009334240491878053
0.03,12,hcrd_adaptive_guided,0.9955555555555555,9.0,0.4428571428571428,0.0016134878886012829
0.03,13,hcrd_raw,0.9312724594406905,121.3,0.10770158013784863,0.0006757817083771644
0.03,13,hcrd_robust,1.0,2.0,0.0,0.0006972526057056803
0.03,13,hcrd_guided,0.9611111111111109,11.1,0.6095588235294118,0.004937979127321236
0.03,13,hcrd_adaptive_guided,1.0,9.0,0.8,0.001273136558812609
0.03,14,hcrd_raw,0.9255488358998398,120.6,0.11148380984453225,0.0005710985953173897
0.03,14,hcrd_robust,1.0,2.0,0.0,0.0004396653452810458
0.03,14,hcrd_guided,0.9666666666666668,11.0,0.5125,0.0018473415957980092
0.03,14,hcrd_adaptive_guided,1.0,9.0,0.5714285714285714,0.0011735258004872044
0.03,15,hcrd_raw,0.9284692115874811,120.4,0.11169270682935192,0.0006251687222957779
0.03,15,hcrd_robust,1.0,2.0,0.0,0.0007291563190478464
0.03,15,hcrd_guided,0.9156565656565658,10.9,0.6174999999999999,0.0031731716813133844
0.03,15,hcrd_adaptive_guided,1.0,9.0,0.8142857142857143,0.0005253931571016937
0.03,16,hcrd_raw,0.9207422089818837,120.3,0.1117721733083153,0.000591354069207231
0.03,16,hcrd_robust,0.9333333333333331,2.1,0.0,0.030103467645667997
0.03,16,hcrd_guided,0.8966422466422467,11.2,0.34705882352941175,0.008038455865402212
0.03,16,hcrd_adaptive_guided,1.0,9.0,0.3999999999999999,0.0003766997903303701
0.03,17,hcrd_raw,0.9207944302101125,120.6,0.10822597037314671,0.0006275394442267639
