cell,signal,design,n,trial,target_left,target_right,hct_left,hct_right,hct_width,hct_empty,hct_covers_target,hct_nontrivial,joint_contrast_coverage,unexplained_empty,positive_contrast_count,negative_contrast_count,hct_runtime_seconds
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,116,0.3,0.3,0.29936416680551214,0.30106599189954186,0.0017018250940297186,False,True,True,True,False,47,48,0.0018601000192575157
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,117,0.3,0.3,0.29868342533283077,0.3003852573697871,0.0017018320369563411,False,True,True,True,False,47,51,0.0021102000027894974
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,118,0.3,0.3,0.2980026547291801,0.30072562263601277,0.002722967906832685,False,True,True,True,False,44,45,0.0016139999497681856
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,119,0.3,0.3,0.29868342533283077,0.3024275463246728,0.003744120991842015,False,True,True,True,False,44,45,0.0015949999797157943
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,120,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,False,False,44,44,0.0016351999947801232
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,121,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,46,46,0.0021524999756366014
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,122,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,48,49,0.0018161999760195613
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,123,0.3,0.3,0.299023798767047,0.30106599189954186,0.002042193132494874,False,True,True,True,False,44,49,0.0015412000357173383
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,124,0.3,0.3,0.29936416680551214,0.30106599189954186,0.0017018250940297186,False,True,True,True,False,47,48,0.0015427999896928668
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,125,0.3,0.3,0.4557258352769171,0.30208714237821316,nan,True,False,False,False,False,43,46,0.0015380000113509595
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,126,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,50,50,0.001476900011766702
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,127,0.3,0.3,0.29868342533283077,0.30072562263601277,0.002042197303182003,False,True,True,True,False,46,49,0.0019911999697797
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,128,0.3,0.3,0.29936416680551214,0.30106599189954186,0.0017018250940297186,False,True,True,True,False,49,50,0.0019204000127501786
