"cell","trial","bootstrap_seed","bootstrap_loops","sshaped_status","sshaped_inflection","sshaped_rss","sshaped_runtime_seconds","shapechange_status","shapechange_inflection","shapechange_left","shapechange_right","shapechange_runtime_seconds"
"paper_f1_cusp__uniform__n500",131,1460060566,1000,"ok",0.303393213572854,4.75779616867955,0.349999999999994,"ok",0.309786838733629,0.307040428520743,0.313498314808156,4.67
"paper_f1_cusp__uniform__n500",135,677319628,1000,"ok",0.301397205588822,4.40350492441857,0.370000000000005,"ok",0.310797511432254,0.307707810755767,0.314442018464205,4.48999999999999
"paper_f1_cusp__uniform__n500",139,1223918793,1000,"ok",0.29940119760479,4.93668469460001,0.25,"ok",0.309189804828267,0.306315487660839,0.312354743757282,4.66
"paper_f1_cusp__uniform__n500",143,195881237,1000,"ok",0.303393213572854,4.66737821185796,0.310000000000002,"ok",0.312423028998292,0.308853170430945,0.315713251767774,5.08999999999999
"paper_f1_cusp__uniform__n500",147,429071119,1000,"ok",0.301397205588822,4.92497972639906,0.550000000000011,"ok",0.313916999713424,0.309910802879266,0.317488005773065,5.73999999999998
"paper_f1_cusp__uniform__n500",151,390506709,1000,"ok",0.303393213572854,5.12799738688088,0.389999999999986,"ok",0.310320987151164,0.307021074253588,0.314033616144956,5.39000000000001
"paper_f1_cusp__uniform__n500",155,913023951,1000,"ok",0.301397205588822,4.9289501560192,0.419999999999987,"ok",0.312938677861923,0.309141422778389,0.316811032858499,5.63
"paper_f1_cusp__uniform__n500",159,1359564647,1000,"ok",0.301397205588822,4.56133275404237,0.330000000000013,"ok",0.311269099851679,0.308438227133691,0.315290094342239,4.82999999999998
"paper_f1_cusp__uniform__n500",163,1864990044,1000,"ok",0.29940119760479,5.39837535837738,0.310000000000002,"ok",0.310286965185285,0.307226015827094,0.314116820046642,5.40000000000001
"paper_f1_cusp__uniform__n500",167,345307232,1000,"ok",0.301397205588822,4.45460734240679,0.27000000000001,"ok",0.309667696761866,0.306185210525356,0.311884427297904,4.63
"paper_f1_cusp__uniform__n500",171,129297998,1000,"ok",0.305389221556886,4.9714031881407,0.370000000000005,"ok",0.313965891536005,0.310327043058209,0.317239342411802,4.59
"paper_f1_cusp__uniform__n500",175,1080676273,1000,"ok",0.291417165668663,4.96368245017415,0.300000000000011,"ok",0.311524357416906,0.308360984412789,0.315649359361177,4.25
"paper_f1_cusp__uniform__n500",179,1065463536,1000,"ok",0.315369261477046,4.94143649133814,0.259999999999991,"ok",0.314604261133811,0.310636306658741,0.319278255012677,4.63
"paper_f1_cusp__uniform__n500",183,2081261157,1000,"ok",0.301397205588822,5.15297843723265,0.260000000000019,"ok",0.311039835890869,0.307434710331928,0.314295645425387,3.94
"paper_f1_cusp__uniform__n500",187,448459652,1000,"ok",0.295409181636727,4.94157782080844,0.299999999999983,"ok",0.309552367483059,0.306896170729786,0.313163217519849,4.28
"paper_f1_cusp__uniform__n500",191,1075379213,1000,"ok",0.295409181636727,4.55998766195476,0.219999999999999,"ok",0.312662540902007,0.308955750659831,0.31581575534468,3.68000000000001
"paper_f1_cusp__uniform__n500",195,321174091,1000,"ok",0.303393213572854,4.53064239145484,0.25,"ok",0.311229743571469,0.308362753138549,0.315113181819239,3.84999999999999
"paper_f1_cusp__uniform__n500",199,20500659,1000,"ok",0.29940119760479,4.74701224293696,0.330000000000013,"ok",0.311603892808517,0.308378499319162,0.315592731261695,3.59
"paper_f2_onset__uniform__n500",3,566475917,1000,"ok",0.403193612774451,4.41712440112523,0.239999999999981,"ok",0.524280182885181,0.510784223696965,0.554504695611787,3.48000000000002
"paper_f2_onset__uniform__n500",7,324088194,1000,"ok",0.528942115768463,5.01907113889919,0.189999999999998,"ok",0.51037612855005,0.505410692392175,0.525183402486579,4.06999999999999
"paper_f2_onset__uniform__n500",11,1185733509,1000,"ok",0.626746506986028,4.52740650696306,0.170000000000016,"ok",0.50785222719772,0.499866749425614,0.522381001543434,3.47
"paper_f2_onset__uniform__n500",15,1189943755,1000,"ok",0.325349301397206,5.22348053183436,0.219999999999999,"ok",0.510421837268776,0.501132783417141,0.523746247858564,3.41999999999999
"paper_f2_onset__uniform__n500",19,1007074976,1000,"ok",0.343313373253493,4.33625102949746,0.280000000000001,"ok",0.512377832659739,0.503640973613546,0.528313516911974,3.98000000000002
"paper_f2_onset__uniform__n500",23,715660297,1000,"ok",0.477045908183633,5.04287368950073,0.140000000000015,"ok",0.510056834451047,0.502702299320261,0.528606288180524,3.5
"paper_f2_onset__uniform__n500",27,271557690,1000,"ok",0.353293413173653,4.74406018186716,0.189999999999998,"ok",0.518802412884796,0.507538692669713,0.533630929985605,3.25999999999999
"paper_f2_onset__uniform__n500",31,1518245781,1000,"ok",0.395209580838323,5.0161403373178,0.189999999999998,"ok",0.502457878540632,0.497581554185994,0.516164014510123,3.14000000000001
"paper_f2_onset__uniform__n500",35,2097527810,1000,"ok",0.463073852295409,4.69094889163503,0.150000000000006,"ok",0.505378764696108,0.498194797490619,0.528812084379968,2.77000000000001
"paper_f2_onset__uniform__n500",39,2037975084,1000,"ok",0.355289421157685,4.85039203619277,0.169999999999987,"ok",0.503381907820414,0.499571322603764,0.511743524060426,2.78
"paper_f2_onset__uniform__n500",43,1786992304,1000,"ok",0.385229540918164,4.96928694502482,0.219999999999999,"ok",0.50069672657152,0.495958219124542,0.510692324819402,3.06
"paper_f2_onset__uniform__n500",47,569506306,1000,"ok",0.357285429141717,4.75156127770303,0.139999999999986,"ok",0.513479928643612,0.502705517565196,0.535807548595906,2.62
"paper_f2_onset__uniform__n500",51,1556665301,1000,"ok",0.387225548902196,5.00828570411159,0.169999999999987,"ok",0.510489552469407,0.504302748880343,0.52842786054307,2.49000000000001
"paper_f2_onset__uniform__n500",55,1448537962,1000,"ok",0.389221556886228,4.62997473599938,0.140000000000015,"ok",0.506521639313187,0.501395074169588,0.520631964193304,2.94999999999999
"paper_f2_onset__uniform__n500",59,122938293,1000,"ok",0.56686626746507,4.78531197866327,0.150000000000006,"ok",0.507577567116731,0.503505958717935,0.517881327521988,2.81999999999999
"paper_f2_onset__uniform__n500",63,1921608602,1000,"ok",0.481037924151697,4.45796539818758,0.159999999999997,"ok",0.504153109812834,0.499293606598177,0.518017898717877,2.66
"paper_f2_onset__uniform__n500",67,809696249,1000,"ok",0.403193612774451,4.91452549492523,0.110000000000014,"ok",0.514723003981891,0.504107528713369,0.531118728260142,2.62
"paper_f2_onset__uniform__n500",71,1505196896,1000,"ok",0.375249500998004,4.25999276026316,0.199999999999989,"ok",0.502387932523712,0.498824040952767,0.513586664185744,2.57999999999998
