cell,trial,method,covered,left,right,width,empty
paper_f4_logistic__uniform__n1000,57,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,57,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,58,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,58,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,59,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,59,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,60,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,60,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,61,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,61,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,62,SCI,True,0.2787212787212787,0.999000999000999,0.7202797202797203,False
paper_f4_logistic__uniform__n1000,62,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,63,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,63,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,64,SCI,False,0.4965034965034965,0.999000999000999,0.5024975024975025,False
