noise_sigma,regularization,latent_index,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,0.0003,6,0.39215686274509803,0.6086740176324876,23.21279563215836
0.01,0.0003,6,0.3333333333333333,0.6138234638646672,30.412815678021143
0.01,0.0003,6,0.34615384615384615,0.6186635358719444,24.531918933456534
0.01,0.0003,6,0.3157894736842105,0.6832938240559413,29.597803966858386
0.01,0.0003,6,0.375,0.647600875954344,22.455083676966606
0.01,0.0003,6,0.4230769230769231,0.6533873325418882,17.778703780184127
0.01,0.0003,7,0.32,0.603128396855656,16.394323183508916
0.01,0.0003,7,0.2826086956521739,0.6318076970856352,36.08481535543836
0.01,0.0003,7,0.32653061224489793,0.6558820695711925,26.94144085135344
0.01,0.0003,7,0.33962264150943394,0.6411393429127551,24.777154779456705
0.01,0.0003,7,0.41304347826086957,0.6546199519053105,25.04640516260818
0.01,0.0003,7,0.36538461538461536,0.6245474334809751,19.76678241540424
0.01,0.0003,7,0.3508771929824561,0.6254508394697382,21.178004198731042
0.01,0.0003,7,0.45454545454545453,0.6178977455702619,21.250068787091415
0.01,0.0003,7,0.37254901960784315,0.6216211829443765,24.164365543953107
0.01,0.0003,7,0.3103448275862069,0.6466508965708303,14.773076337237207
0.01,0.001,0,0.5882352941176471,0.4893448013081188,10.920424570201005
0.01,0.001,0,0.5,0.5661641916053076,20.47818583755231
0.01,0.001,0,0.6428571428571429,0.5402192465560853,13.721310973168977
0.01,0.001,0,0.6666666666666666,0.5503142118607336,12.983958340762994
0.01,0.001,0,0.5789473684210527,0.4814984082187017,23.114680848636137
0.01,0.001,0,0.5294117647058824,0.5064506146896335,12.840439925203079
0.01,0.001,0,0.5555555555555556,0.5067516902537276,15.617602355834018
0.01,0.001,0,0.5294117647058824,0.5611638408911661,23.2665963144222
0.01,0.001,0,0.6470588235294118,0.5946455232204368,15.902936176150734
0.01,0.001,0,0.6,0.507471706303525,16.781039938390315
0.01,0.001,1,0.8181818181818182,0.592417218880261,15.232218077842282
0.01,0.001,1,0.75,0.5294521081987004,11.277568203677756
0.01,0.001,1,0.9,0.5243951676293768,8.342575072516128
0.01,0.001,1,1.0,0.5063385647052729,3.0802951767504716
0.01,0.001,1,0.6428571428571429,0.5867978553465159,11.851742347425477
0.01,0.001,1,0.75,0.5503466595200519,11.279322219348218
0.01,0.001,1,0.8181818181818182,0.5329781957562284,15.678956699062969
0.01,0.001,1,0.8333333333333334,0.5549742791779545,7.049960054213584
0.01,0.001,1,0.75,0.5386971823439654,10.361909140949612
0.01,0.001,1,0.9,0.5187921666400731,7.360085916748654
0.01,0.001,2,0.5294117647058824,0.5960343945745971,26.10138064505354
0.01,0.001,2,0.47368421052631576,0.5920119184913477,35.39010493747359
0.01,0.001,2,0.42857142857142855,0.582531215954519,23.050209460732404
0.01,0.001,2,0.47368421052631576,0.5703424301394282,30.57718496949395
0.01,0.001,2,0.6,0.5518411614924594,22.58221069647966
0.01,0.001,2,0.625,0.5499483807569701,18.071492312786738
