noise_sigma,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.03,0.0003,1,4,0.8343509413276915,0.8628996544436056,0.14285714285714288,93
0.03,0.0003,2,0,0.6616552363825757,0.6818192580727483,0.1320754716981132,101
0.03,0.0003,2,1,0.6585845483743367,0.6846742844724203,0.11538461538461539,99
0.03,0.0003,2,2,0.6575649146127946,0.6784688314247828,0.1372549019607843,97
0.03,0.0003,2,3,0.6642089011374505,0.6814606564513556,0.0980392156862745,97
0.03,0.0003,2,4,0.6630688880113202,0.6887706132236482,0.11650485436893204,98
0.03,0.0003,3,0,0.8510465199286765,0.9649633527797207,0.09195402298850575,82
0.03,0.0003,3,1,0.9385158910459308,0.9715986028226528,0.101010101010101,94
0.03,0.0003,3,2,0.9179967353457924,0.9688603140906042,0.1263157894736842,90
0.03,0.0003,3,3,0.9419367895582134,0.9726187180453525,0.11764705882352942,97
0.03,0.0003,3,4,0.9346492214066859,0.9695421000650535,0.12121212121212122,94
0.03,0.0003,4,0,0.7619210068095736,0.7899373051892734,0.14,95
0.03,0.0003,4,1,0.7656006568179266,0.7811424416709453,0.11214953271028037,102
0.03,0.0003,4,2,0.7279509092257604,0.7827802135593852,0.101010101010101,94
0.03,0.0003,4,3,0.7604271589650343,0.7898464002957943,0.1346153846153846,99
0.03,0.0003,4,4,0.7458838464773252,0.7894425628443164,0.13043478260869565,87
0.03,0.0003,5,0,0.7122253515182739,0.7967200975508358,0.08333333333333333,91
0.03,0.0003,5,1,0.7688352416000904,0.7965236575897987,0.1020408163265306,93
0.03,0.0003,5,2,0.7598838726601931,0.7905380178027082,0.0980392156862745,97
0.03,0.0003,5,3,0.7710954670553012,0.7956369820253919,0.12121212121212122,94
0.03,0.0003,5,4,0.7623632896553547,0.8001100740516865,0.13592233009708737,98
0.03,0.0003,6,0,0.7442729752205238,0.7648540390179481,0.12244897959183673,93
0.03,0.0003,6,1,0.743434399350717,0.7666451942512543,0.14285714285714288,93
0.03,0.0003,6,2,0.7364233217266334,0.7627950039471323,0.1188118811881188,96
0.03,0.0003,6,3,0.7383378039924949,0.7681034334357116,0.1020408163265306,93
0.03,0.0003,6,4,0.7337294744785523,0.7597837923034104,0.12244897959183673,93
0.03,0.0003,7,0,0.7741551997003138,0.7930168889497375,0.11764705882352942,97
0.03,0.0003,7,1,0.7681686965677953,0.7920963503171624,0.12371134020618557,92
0.03,0.0003,7,2,0.7724318378093172,0.7930154802839908,0.1386138613861386,96
0.03,0.0003,7,3,0.763097243653144,0.7907430202575536,0.14583333333333334,91
0.03,0.0003,7,4,0.7642383548149547,0.7993369559778682,0.14736842105263157,90
0.03,0.001,0,0,0.5601780445493062,0.7158825013110329,0.09836065573770493,56
0.03,0.001,0,1,0.6276919037852304,0.7111175020284305,0.14084507042253522,66
0.03,0.001,0,2,0.6402685414493591,0.7172760318661131,0.060606060606060594,61
0.03,0.001,0,3,0.5233559093338579,0.7118996779042,0.09090909090909091,61
0.03,0.001,0,4,0.6042577746992842,0.7174505405469401,0.125,59
0.03,0.001,1,0,0.7404818741046869,0.8643835000043528,0.20338983050847456,54
