baseline_mse,knot_count,latent_index,method,noise_sigma,repetition,target_knot_f1
0.08703300120325551,9,3,hcrd_quadratic_guided,0.01,4,0.42857142857142855
0.7077807245451954,108,3,hcrd_raw,0.01,5,0.1238938053097345
0.09300272646438223,2,3,hcrd_robust,0.01,5,0.0
0.10298962282270127,11,3,hcrd_gaussian_guided,0.01,5,0.5
0.08529979760126931,9,3,hcrd_adaptive_guided,0.01,5,0.42857142857142855
0.08161863031996205,9,3,hcrd_quadratic_guided,0.01,5,0.5714285714285714
0.6970449891498439,106,3,hcrd_raw,0.01,6,0.12612612612612611
0.09227505451418966,2,3,hcrd_robust,0.01,6,0.0
0.08886157870460253,11,3,hcrd_gaussian_guided,0.01,6,0.375
0.09185331387432681,9,3,hcrd_adaptive_guided,0.01,6,0.2857142857142857
0.08646424951795496,9,3,hcrd_quadratic_guided,0.01,6,0.42857142857142855
0.7064349684692748,109,3,hcrd_raw,0.01,7,0.12280701754385964
0.09448088735699081,2,3,hcrd_robust,0.01,7,0.0
0.10158398114071898,11,3,hcrd_gaussian_guided,0.01,7,0.375
0.0987051769704057,10,3,hcrd_adaptive_guided,0.01,7,0.26666666666666666
0.08152635600250469,9,3,hcrd_quadratic_guided,0.01,7,0.5714285714285714
0.7081045588707008,113,3,hcrd_raw,0.01,8,0.11864406779661016
0.15724533985649233,3,3,hcrd_robust,0.01,8,0.25
0.10282633491225096,11,3,hcrd_gaussian_guided,0.01,8,0.375
0.08456310546386685,9,3,hcrd_adaptive_guided,0.01,8,0.42857142857142855
0.08196579927667334,9,3,hcrd_quadratic_guided,0.01,8,0.5714285714285714
0.6923237783787368,98,3,hcrd_raw,0.01,9,0.13592233009708737
0.14627143789529048,3,3,hcrd_robust,0.01,9,0.25
0.10199981593520943,11,3,hcrd_gaussian_guided,0.01,9,0.375
0.08358526350547682,9,3,hcrd_adaptive_guided,0.01,9,0.42857142857142855
0.0815469321957737,9,3,hcrd_quadratic_guided,0.01,9,0.5714285714285714
1.0034492182528445,102,4,hcrd_raw,0.01,0,0.13084112149532712
0.06826805947684024,2,4,hcrd_robust,0.01,0,0.0
0.06760011103693427,11,4,hcrd_gaussian_guided,0.01,0,0.6250000000000001
0.034240175083387836,9,4,hcrd_adaptive_guided,0.01,0,0.7142857142857143
0.06335901768303387,9,4,hcrd_quadratic_guided,0.01,0,0.7142857142857143
1.0031085039907897,97,4,hcrd_raw,0.01,1,0.1372549019607843
0.06891749903770465,2,4,hcrd_robust,0.01,1,0.0
0.06926179683909571,11,4,hcrd_gaussian_guided,0.01,1,0.5
0.03846708170434405,9,4,hcrd_adaptive_guided,0.01,1,0.5714285714285714
0.06221910850674995,9,4,hcrd_quadratic_guided,0.01,1,0.7142857142857143
0.9855895804989482,99,4,hcrd_raw,0.01,2,0.1346153846153846
0.06778052178278197,2,4,hcrd_robust,0.01,2,0.0
0.07225457516916602,11,4,hcrd_gaussian_guided,0.01,2,0.5
0.039208237722154336,9,4,hcrd_adaptive_guided,0.01,2,0.5714285714285714
0.0633449609335406,9,4,hcrd_quadratic_guided,0.01,2,0.7142857142857143
0.9994773108754965,98,4,hcrd_raw,0.01,3,0.13592233009708737
0.06791627746241766,2,4,hcrd_robust,0.01,3,0.0
0.07052221512193556,11,4,hcrd_gaussian_guided,0.01,3,0.6250000000000001
0.07043695706146194,11,4,hcrd_adaptive_guided,0.01,3,0.6250000000000001
