noise_sigma,trial,signal_seed,method,parameter,baseline_mse,if_reconstruction_error,if_seconds
0.1,30,20281232,if_final,tail=1,0.1345902386731856,2.220446049250313e-16,0.013029500027187169
0.1,30,20281232,if_oracle_tail,tail=1,0.1345902386731856,2.220446049250313e-16,0.013029500027187169
0.1,31,20281233,hcrd_centered,none,0.5096365186078559,3.3306690738754696e-16,0.022475400008261204
0.1,31,20281233,hcrd_thresholded,z=3.5,0.002064537198926732,3.3306690738754696e-16,0.022475400008261204
0.1,31,20281233,if_final,tail=1,0.14863145431281405,3.3306690738754696e-16,0.022475400008261204
0.1,31,20281233,if_oracle_tail,tail=1,0.14863145431281405,3.3306690738754696e-16,0.022475400008261204
0.1,32,20281234,hcrd_centered,none,0.9085243487626733,1.7763568394002505e-15,0.029637599945999682
0.1,32,20281234,hcrd_thresholded,z=3.5,0.0006066225397068738,1.7763568394002505e-15,0.029637599945999682
0.1,32,20281234,if_final,tail=1,0.1349186068246802,1.7763568394002505e-15,0.029637599945999682
0.1,32,20281234,if_oracle_tail,tail=1,0.1349186068246802,1.7763568394002505e-15,0.029637599945999682
0.1,33,20281235,hcrd_centered,none,1.016118251133332,1.7763568394002505e-15,0.02263889997266233
0.1,33,20281235,hcrd_thresholded,z=3.5,0.006253671300601507,1.7763568394002505e-15,0.02263889997266233
0.1,33,20281235,if_final,tail=1,0.11815702080524305,1.7763568394002505e-15,0.02263889997266233
0.1,33,20281235,if_oracle_tail,tail=1,0.11815702080524305,1.7763568394002505e-15,0.02263889997266233
0.1,34,20281236,hcrd_centered,none,0.6241428418626266,4.440892098500626e-16,0.01667409995570779
0.1,34,20281236,hcrd_thresholded,z=3.5,0.004694357963864229,4.440892098500626e-16,0.01667409995570779
0.1,34,20281236,if_final,tail=1,0.10969798976548503,4.440892098500626e-16,0.01667409995570779
0.1,34,20281236,if_oracle_tail,tail=1,0.10969798976548503,4.440892098500626e-16,0.01667409995570779
0.1,35,20281237,hcrd_centered,none,0.6449515007603226,4.440892098500626e-16,0.020913499989546835
0.1,35,20281237,hcrd_thresholded,z=3.5,0.025873779768778523,4.440892098500626e-16,0.020913499989546835
0.1,35,20281237,if_final,tail=1,0.07269320948158627,4.440892098500626e-16,0.020913499989546835
0.1,35,20281237,if_oracle_tail,tail=1,0.07269320948158627,4.440892098500626e-16,0.020913499989546835
0.1,36,20281238,hcrd_centered,none,0.8194691247748912,4.440892098500626e-16,0.026379400049336255
0.1,36,20281238,hcrd_thresholded,z=3.5,0.0064527239209406706,4.440892098500626e-16,0.026379400049336255
0.1,36,20281238,if_final,tail=1,0.10181054518080433,4.440892098500626e-16,0.026379400049336255
0.1,36,20281238,if_oracle_tail,tail=1,0.10181054518080433,4.440892098500626e-16,0.026379400049336255
0.1,37,20281239,hcrd_centered,none,0.9217431083894789,1.7763568394002505e-15,0.0456722000380978
