noise_sigma,ratio,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.03,1.0,0.03,2,0,0.5043234214059825,0.8490976051956092,0.0,9
0.03,1.0,0.03,2,1,0.19317763453347672,0.8482356363413612,0.0,9
0.03,1.0,0.03,2,2,0.4815947957084557,0.8424659661630253,0.0,9
0.03,1.0,0.03,2,3,0.2824492347961715,0.8483926905303895,0.0,9
0.03,1.0,0.03,2,4,0.2597489033605708,0.8453838918264466,0.0,9
0.03,1.0,0.03,3,0,0.28556472919199744,0.6588397402811672,0.0,9
0.03,1.0,0.03,3,1,0.21611057337433023,0.6685954002698209,0.0,9
0.03,1.0,0.03,3,2,0.4244110090376289,0.6616096516895476,0.0,9
0.03,1.0,0.03,3,3,0.3478471126400422,0.6630569971573306,0.0,9
0.03,1.0,0.03,3,4,0.25365211820764594,0.6619857142462501,0.0,9
0.03,1.0,0.03,4,0,0.708812150217423,0.953217292110107,0.0,9
0.03,1.0,0.03,4,1,0.297707232616631,0.951855381353125,0.0,9
0.03,1.0,0.03,4,2,0.2744370924647219,0.9434419150529088,0.0,9
0.03,1.0,0.03,4,3,0.6113764466841344,0.9475608461792443,0.0,9
0.03,1.0,0.03,4,4,0.4487653344335886,0.9549979358761481,0.0,9
0.03,1.0,0.03,5,0,0.20896710112914232,0.7767660548635315,0.0,9
0.03,1.0,0.03,5,1,0.30625929459475254,0.7692704206120674,0.0,9
0.03,1.0,0.03,5,2,0.14667056099948111,0.7709162626527364,0.0,9
0.03,1.0,0.03,5,3,0.464866594501368,0.7750164215685521,0.0,9
0.03,1.0,0.03,5,4,0.16004667939859968,0.7712952581291148,0.0,9
0.03,1.0,0.03,6,0,0.21265754278828036,0.778990445822249,0.14285714285714285,9
0.03,1.0,0.03,6,1,0.18858372459908468,0.7804360110067462,0.0,9
0.03,1.0,0.03,6,2,0.7965884827904639,0.7825421198315688,0.0,9
0.03,1.0,0.03,6,3,0.3568307135121196,0.7780658554235562,0.0,9
0.03,1.0,0.03,6,4,0.2865874488742774,0.7820837880079469,0.14285714285714285,9
0.03,1.0,0.03,7,0,0.4732367537840825,0.7550876780046852,0.0,9
0.03,1.0,0.03,7,1,0.3301742048277801,0.7509574236878085,0.0,9
0.03,1.0,0.03,7,2,0.29567906719868126,0.7514121620815146,0.0,9
0.03,1.0,0.03,7,3,0.6671007739129043,0.7511622076606468,0.0,9
0.03,1.0,0.03,7,4,0.3414856010622103,0.7537701002434671,0.0,9
0.03,3.0,0.09,0,0,0.8412400051754846,0.8928039541711176,0.0,9
0.03,3.0,0.09,0,1,0.41202454479658757,0.8871276447822009,0.0,9
0.03,3.0,0.09,0,2,0.3639246497876268,0.8839349447550359,0.0,9
0.03,3.0,0.09,0,3,0.7802686463395203,0.8897160730325534,0.0,9
0.03,3.0,0.09,0,4,0.7906952808273644,0.8828613634073047,0.0,9
0.03,3.0,0.09,1,0,0.5247353679250106,0.6813595006880905,0.0,9
0.03,3.0,0.09,1,1,0.3931272705747479,0.6800647147498305,0.0,9
0.03,3.0,0.09,1,2,0.5674689329106964,0.6714799442940378,0.0,9
0.03,3.0,0.09,1,3,0.3033402945299096,0.6802991294484806,0.0,9
0.03,3.0,0.09,1,4,0.2558174084678117,0.679467784766464,0.0,9
0.03,3.0,0.09,2,0,0.31679019395833374,0.8220168968681965,0.0,9
0.03,3.0,0.09,2,1,0.3004253415318871,0.8211025355264149,0.0,9
0.03,3.0,0.09,2,2,0.3309397660305866,0.8153622219779724,0.0,9
0.03,3.0,0.09,2,3,0.42652459797241693,0.8213274131553232,0.0,9
0.03,3.0,0.09,2,4,0.37318919594737016,0.8182144175577086,0.0,9
