noise_sigma,ratio,regularization,latent_index,first_repetition,second_repetition,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,1.0,0.01,1,0,3,0.8,0.6785352037757366,17.16187152743493
0.01,1.0,0.01,1,0,4,0.38461538461538464,0.6507886900374015,47.31174568448353
0.01,1.0,0.01,1,1,2,0.5,0.6994862343295023,39.38501314961228
0.01,1.0,0.01,1,1,3,1.0,0.65630652492598,2.4197066679648658
0.01,1.0,0.01,1,1,4,0.5,0.6636825848835309,43.709554570922364
0.01,1.0,0.01,1,2,3,0.5,0.6886816602504187,39.55665535144191
0.01,1.0,0.01,1,2,4,0.2,0.6705751742676113,60.39323035849766
0.01,1.0,0.01,1,3,4,0.5,0.7044892484662983,47.45934791121419
0.01,1.0,0.01,2,0,1,0.38461538461538464,0.6578993189147972,40.67235528070518
0.01,1.0,0.01,2,0,2,0.38461538461538464,0.623540544114495,48.13512517821966
0.01,1.0,0.01,2,0,3,0.38461538461538464,0.6414403017499903,45.57655454461209
0.01,1.0,0.01,2,0,4,0.5,0.649561200108398,40.20283118973778
0.01,1.0,0.01,2,1,2,0.6363636363636364,0.709474825117168,35.21262796759937
0.01,1.0,0.01,2,1,3,0.6363636363636364,0.7062168770637931,34.240864626862056
0.01,1.0,0.01,2,1,4,0.5,0.7088719021657719,34.68153786009789
0.01,1.0,0.01,2,2,3,0.6363636363636364,0.6660903129321644,27.96632046096932
0.01,1.0,0.01,2,2,4,0.2857142857142857,0.6397693533829163,56.36591876270296
0.01,1.0,0.01,2,3,4,0.5,0.63651687148043,43.091796711339235
0.01,1.0,0.01,3,0,1,0.2857142857142857,0.6245464642140227,46.19977637506716
0.01,1.0,0.01,3,0,2,0.5,0.585553798299528,32.219632333302386
0.01,1.0,0.01,3,0,3,0.6363636363636364,0.6096374014474728,26.834280441932325
0.01,1.0,0.01,3,0,4,0.5,0.6204819557079347,34.73973186661798
0.01,1.0,0.01,3,1,2,0.38461538461538464,0.6276185174082948,36.33539308756044
0.01,1.0,0.01,3,1,3,0.5,0.628576701290567,35.75888975306073
0.01,1.0,0.01,3,1,4,0.38461538461538464,0.6732046471718142,37.07875667645418
0.01,1.0,0.01,3,2,3,0.2857142857142857,0.5728076163277037,40.2470669852892
0.01,1.0,0.01,3,2,4,0.6363636363636364,0.6239866360074166,28.092637488227847
0.01,1.0,0.01,3,3,4,0.2857142857142857,0.6050870794498084,44.33264638013454
0.01,1.0,0.01,4,0,1,0.8,0.6690831881106706,29.500509000820472
0.01,1.0,0.01,4,0,2,0.38461538461538464,0.6361757514547823,58.29833658318765
0.01,1.0,0.01,4,0,3,0.5,0.6632225440981537,44.48380093836878
0.01,1.0,0.01,4,0,4,0.6363636363636364,0.6565499757209363,35.97397095529888
0.01,1.0,0.01,4,1,2,0.5,0.6547791175976408,45.30290089772581
0.01,1.0,0.01,4,1,3,0.6363636363636364,0.6927429737524591,33.7437918532154
0.01,1.0,0.01,4,1,4,0.5,0.6900052208844525,43.066643474735685
0.01,1.0,0.01,4,2,3,0.5,0.6057825773971717,39.56934425390264
0.01,1.0,0.01,4,2,4,0.6363636363636364,0.654929889860188,38.18834086092414
0.01,1.0,0.01,4,3,4,0.5,0.6285694244299478,38.549938949264
0.01,1.0,0.01,5,0,1,0.38461538461538464,0.6595237821450678,50.677160140666416
0.01,1.0,0.01,5,0,2,0.8,0.6797522038754924,21.213751668578066
0.01,1.0,0.01,5,0,3,0.38461538461538464,0.6184561128917008,45.70812759189545
0.01,1.0,0.01,5,0,4,0.6363636363636364,0.6544910952460004,29.85779223768383
0.01,1.0,0.01,5,1,2,0.5,0.6255217628703709,46.24868566216667
0.01,1.0,0.01,5,1,3,0.6363636363636364,0.6675702162425871,30.05280608707048
0.01,1.0,0.01,5,1,4,0.38461538461538464,0.5799769949865031,51.882813906770224
0.01,1.0,0.01,5,2,3,0.5,0.6166488148733437,35.876450504881035
0.01,1.0,0.01,5,2,4,0.8,0.603039459869376,24.895450257960718
0.01,1.0,0.01,5,3,4,0.38461538461538464,0.600918120131667,39.994262504971054
0.01,1.0,0.01,6,0,1,0.6363636363636364,0.6754154666535019,33.437585266750816
0.01,1.0,0.01,6,0,2,0.38461538461538464,0.6323747711960435,30.50546146203544
0.01,1.0,0.01,6,0,3,0.5,0.6830016447857477,30.873162127482587
0.01,1.0,0.01,6,0,4,0.6363636363636364,0.6803273053801687,23.83988919896229
0.01,1.0,0.01,6,1,2,0.6363636363636364,0.6583920414871065,25.863433267973683
0.01,1.0,0.01,6,1,3,0.6363636363636364,0.6275438582149904,16.417424324547436
0.01,1.0,0.01,6,1,4,0.38461538461538464,0.6568088192525292,44.0439603519195
