record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_successful_onset_absolute_error_ms,mean_successful_offset_absolute_error_ms,mean_successful_duration_absolute_error_ms
sele0604,neurokit_dwt_ch0,30,0.0,39.4,73.73333333333333,5.066666666666666,76.4
sele0604,neurokit_dwt_ch1,30,0.033333333333333326,51.4,15.586206896551724,79.72413793103448,90.62068965517241
sele0166,neurokit_dwt_ch0,36,0.0,26.22222222222222,33.111111111111114,19.333333333333332,14.88888888888889
sele0166,neurokit_dwt_ch1,36,0.0,40.22222222222222,65.88888888888889,14.555555555555555,79.33333333333333
sel853,neurokit_dwt_ch0,30,0.0,29.8,54.8,4.8,55.333333333333336
sel853,neurokit_dwt_ch1,30,1.0,160.0,,,
sel803,neurokit_dwt_ch0,30,0.0,60.733333333333334,111.6,9.866666666666667,116.66666666666667
sel803,neurokit_dwt_ch1,30,0.0,48.13333333333333,82.0,14.266666666666667,92.26666666666667
sele0111,neurokit_dwt_ch0,30,0.0,23.666666666666668,4.533333333333333,42.8,40.666666666666664
sele0111,neurokit_dwt_ch1,30,0.06666666666666665,112.73333333333333,109.0,109.71428571428571,218.71428571428572
sel15814,neurokit_dwt_ch0,30,0.8,143.46666666666667,80.0,74.66666666666667,53.333333333333336
sel15814,neurokit_dwt_ch1,30,1.0,160.0,,,
sele0126,neurokit_dwt_ch0,30,0.0,65.0,124.0,6.0,119.6
sele0126,neurokit_dwt_ch1,30,0.033333333333333326,40.6,8.96551724137931,64.0,55.03448275862069
sel307,neurokit_dwt_ch0,30,0.0,14.733333333333333,9.466666666666667,20.0,28.933333333333334
sel307,neurokit_dwt_ch1,30,0.0,55.666666666666664,98.26666666666667,13.066666666666666,111.33333333333333
sel32,neurokit_dwt_ch0,30,0.5333333333333333,109.33333333333333,78.0,24.857142857142858,98.85714285714286
sel32,neurokit_dwt_ch1,30,1.0,160.0,,,
sel34,neurokit_dwt_ch0,30,0.7333333333333334,132.8,45.0,71.0,106.0
sel34,neurokit_dwt_ch1,30,0.7,136.33333333333334,137.77777777777777,24.444444444444443,146.22222222222223
sel17453,neurokit_dwt_ch0,30,0.0,42.93333333333333,79.2,6.666666666666667,81.86666666666666
sel17453,neurokit_dwt_ch1,30,0.0,48.0,88.93333333333334,7.066666666666666,82.4
sel16272,neurokit_dwt_ch0,30,0.0,38.13333333333333,65.2,11.066666666666666,74.4
sel16272,neurokit_dwt_ch1,30,0.6333333333333333,117.93333333333334,86.18181818181819,4.363636363636363,88.36363636363636
sele0104,neurokit_dwt_ch0,30,0.1333333333333333,33.06666666666667,4.461538461538462,22.615384615384617,19.076923076923077
sele0104,neurokit_dwt_ch1,30,0.0,53.4,90.26666666666667,16.533333333333335,106.8
sel233,neurokit_dwt_ch0,30,0.9666666666666667,155.66666666666666,56.0,4.0,60.0
sel233,neurokit_dwt_ch1,30,0.4666666666666667,89.86666666666666,46.25,10.75,35.5
sele0211,neurokit_dwt_ch0,30,0.06666666666666665,67.06666666666666,5.285714285714286,115.57142857142857,117.42857142857143
sele0211,neurokit_dwt_ch1,30,0.09999999999999998,75.0,6.962962962962963,124.14814814814815,128.74074074074073
sel820,neurokit_dwt_ch0,30,0.7666666666666666,127.26666666666667,5.142857142857143,34.285714285714285,38.285714285714285
sel820,neurokit_dwt_ch1,30,0.30000000000000004,91.33333333333333,116.0,7.809523809523809,122.66666666666667
sel16420,neurokit_dwt_ch0,30,0.0,61.4,116.93333333333334,5.866666666666666,120.13333333333334
sel16420,neurokit_dwt_ch1,30,0.0,58.666666666666664,109.73333333333333,7.6,104.8
sel43,neurokit_dwt_ch0,30,0.1333333333333333,45.53333333333333,47.84615384615385,8.0,55.84615384615385
sel43,neurokit_dwt_ch1,30,0.9666666666666667,155.6,12.0,44.0,32.0
sele0133,neurokit_dwt_ch0,30,0.0,67.66666666666667,110.53333333333333,24.8,110.0
sele0133,neurokit_dwt_ch1,30,0.0,61.4,117.2,5.6,117.73333333333333
sel114,neurokit_dwt_ch0,50,0.0,28.52,46.24,10.8,46.16
sel114,neurokit_dwt_ch1,50,0.9,150.24,86.4,38.4,124.8
sel891,neurokit_dwt_ch0,71,0.028169014084507005,67.1830985915493,122.66666666666667,6.318840579710145,119.71014492753623
sel891,neurokit_dwt_ch1,71,0.04225352112676062,61.32394366197183,66.3529411764706,47.588235294117645,69.94117647058823
sel873,neurokit_dwt_ch0,33,1.0,160.0,,,
sel873,neurokit_dwt_ch1,33,0.030303030303030276,66.12121212121212,120.25,6.125,123.875
sel123,neurokit_dwt_ch0,30,0.0,75.4,136.26666666666668,14.533333333333333,144.4
sel123,neurokit_dwt_ch1,30,0.0,56.0,96.26666666666667,15.733333333333333,108.0
sel41,neurokit_dwt_ch0,30,1.0,160.0,,,
sel41,neurokit_dwt_ch1,30,1.0,160.0,,,
sel16795,neurokit_dwt_ch0,30,0.0,51.8,96.53333333333333,7.066666666666666,97.2
sel16795,neurokit_dwt_ch1,30,0.0,52.333333333333336,97.6,7.066666666666666,99.6
sele0406,neurokit_dwt_ch0,31,0.0,46.064516129032256,83.09677419354838,9.03225806451613,92.12903225806451
sele0406,neurokit_dwt_ch1,31,0.935483870967742,152.38709677419354,58.0,26.0,84.0
sel17152,neurokit_dwt_ch0,30,0.0,45.46666666666667,68.0,22.933333333333334,88.53333333333333
sel17152,neurokit_dwt_ch1,30,0.9,148.0,74.66666666666667,5.333333333333333,74.66666666666667
sel302,neurokit_dwt_ch0,30,0.0,16.133333333333333,26.933333333333334,5.333333333333333,28.0
sel302,neurokit_dwt_ch1,30,0.0,42.666666666666664,77.86666666666666,7.466666666666667,70.93333333333334
sel16483,neurokit_dwt_ch0,30,0.0,5.533333333333333,5.2,5.866666666666666,5.733333333333333
sel16483,neurokit_dwt_ch1,30,0.0,61.53333333333333,113.6,9.466666666666667,120.13333333333334
sele0203,neurokit_dwt_ch0,30,0.5,114.73333333333333,100.26666666666667,38.666666666666664,138.93333333333334
sele0203,neurokit_dwt_ch1,30,1.0,160.0,,,
sel808,neurokit_dwt_ch0,30,0.9,146.53333333333333,6.666666666666667,44.0,50.666666666666664
sel808,neurokit_dwt_ch1,30,1.0,160.0,,,
sel42,neurokit_dwt_ch0,30,1.0,160.0,,,
sel42,neurokit_dwt_ch1,30,0.0,28.266666666666666,42.0,14.533333333333333,47.733333333333334
sele0112,neurokit_dwt_ch0,50,0.86,144.28,3.4285714285714284,92.0,94.28571428571429
sele0112,neurokit_dwt_ch1,50,0.33999999999999997,75.96,38.78787878787879,26.545454545454547,65.0909090909091
