noise_sigma,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.03,3.0,0,3,0.09685754405214923,0.45667229896733724,0.2857142857142857,9
0.03,3.0,0,4,0.0966505445140701,0.46057328055836283,0.2857142857142857,9
0.03,3.0,1,0,0.050416484790705055,0.5711393284846332,1.0,9
0.03,3.0,1,1,0.05404233462212524,0.5678558280646208,0.8571428571428571,9
0.03,3.0,1,2,0.05371766078072598,0.5691107368220171,0.8571428571428571,9
0.03,3.0,1,3,0.05482700577553307,0.5715654453002366,0.8571428571428571,9
0.03,3.0,1,4,0.055333635269776,0.5714617608833471,0.8571428571428571,9
0.03,3.0,2,0,0.06390834792957059,0.44656271770551814,0.8571428571428571,9
0.03,3.0,2,1,0.0659169004192324,0.44820643988371783,0.7142857142857143,9
0.03,3.0,2,2,0.06571357187458636,0.44393892545779473,0.7142857142857143,9
0.03,3.0,2,3,0.06564305086403364,0.4456679121718882,0.7142857142857143,9
0.03,3.0,2,4,0.06352517402078715,0.45080378172441593,0.7142857142857143,9
0.03,3.0,3,0,0.14370337181063567,0.6462340909604595,0.5714285714285714,9
0.03,3.0,3,1,0.14687996586682917,0.6522340886008486,0.5714285714285714,9
0.03,3.0,3,2,0.14522297149718003,0.6495200974514909,0.5714285714285714,9
0.03,3.0,3,3,0.14660447499357485,0.6526443095752806,0.5714285714285714,9
0.03,3.0,3,4,0.14886669476696127,0.6517849312899171,0.5714285714285714,9
0.03,3.0,4,0,0.03551924870496791,0.512355556003445,1.0,9
0.03,3.0,4,1,0.03619757496432161,0.5070412510074648,1.0,9
0.03,3.0,4,2,0.03590446234855956,0.5081037807003626,1.0,9
0.03,3.0,4,3,0.03678534422623259,0.5129320562924835,1.0,9
0.03,3.0,4,4,0.037826196167193384,0.5133753951284751,1.0,9
0.03,3.0,5,0,0.09250735360200091,0.515225215455637,0.7142857142857143,9
0.03,3.0,5,1,0.0959000030674064,0.5157655918064316,0.7142857142857143,9
0.03,3.0,5,2,0.09363604882692554,0.511221143096884,0.7142857142857143,9
0.03,3.0,5,3,0.09301189531206867,0.5148597303948736,0.7142857142857143,9
0.03,3.0,5,4,0.09390767209175482,0.5184017713119491,0.7142857142857143,9
0.03,3.0,6,0,0.07342562337084975,0.4960667260563719,0.5714285714285714,9
0.03,3.0,6,1,0.07253449457993266,0.4965814897915648,0.7142857142857143,9
0.03,3.0,6,2,0.07247937195511635,0.49466501822433995,0.7142857142857143,9
0.03,3.0,6,3,0.07326621090061991,0.49766649409764585,0.5714285714285714,9
0.03,3.0,6,4,0.07351318918443009,0.49208145622141375,0.42857142857142855,9
0.03,3.0,7,0,0.03984260182932626,0.5088668767851156,1.0,9
0.03,3.0,7,1,0.03969627592314076,0.5081046638640848,1.0,9
0.03,3.0,7,2,0.042061146315850804,0.5096328727416968,1.0,9
0.03,3.0,7,3,0.04150293999692387,0.508466057668942,1.0,9
0.03,3.0,7,4,0.041401085903371625,0.5140458042873793,1.0,9
0.03,10.0,0,0,0.10833940242622676,0.2633501746795825,0.7142857142857143,9
0.03,10.0,0,1,0.10457888503075546,0.25968497971649496,0.7142857142857143,9
0.03,10.0,0,2,0.105522732657556,0.26241263554248384,0.7142857142857143,9
0.03,10.0,0,3,0.10379614243735115,0.2591609124299227,0.7142857142857143,9
0.03,10.0,0,4,0.10388117361964296,0.261556482325099,0.7142857142857143,9
0.03,10.0,1,0,0.10597983566567938,0.3599544876507675,0.8571428571428571,9
0.03,10.0,1,1,0.10627108330072738,0.35855878640657673,0.8571428571428571,9
0.03,10.0,1,2,0.10583012342576664,0.35796990203741275,0.8571428571428571,9
0.03,10.0,1,3,0.1084038856300633,0.36125628250784697,0.8571428571428571,9
0.03,10.0,1,4,0.10864889139670035,0.3614131244707346,0.8571428571428571,9
0.03,10.0,2,0,0.09155688030677826,0.2739884702013629,0.7142857142857143,9
0.03,10.0,2,1,0.092288171615493,0.27554900275271665,0.7142857142857143,9
0.03,10.0,2,2,0.090510176337591,0.2720044110008126,0.7142857142857143,9
0.03,10.0,2,3,0.09066305202340849,0.2727914643576018,0.7142857142857143,9
0.03,10.0,2,4,0.09202306805877393,0.27609013245972835,0.7142857142857143,9
0.03,10.0,3,0,0.18660438271290086,0.41443387439016116,0.8571428571428571,9
0.03,10.0,3,1,0.19052007826912287,0.41951951124649445,0.8571428571428571,9
0.03,10.0,3,2,0.18822794145682528,0.4168676321481927,0.8571428571428571,9
0.03,10.0,3,3,0.19037463503736216,0.41971494690327404,0.8571428571428571,9
0.03,10.0,3,4,0.19192793845104666,0.4197643943915468,0.8571428571428571,9
0.03,10.0,4,0,0.07865112967437833,0.3011628379806337,0.5714285714285714,9
0.03,10.0,4,1,0.07985279817485536,0.2983768141030662,0.5714285714285714,9
0.03,10.0,4,2,0.07931242740270558,0.299049957784215,0.5714285714285714,9
0.03,10.0,4,3,0.08105057742637531,0.30197792482272734,0.5714285714285714,9
0.03,10.0,4,4,0.0825508195037356,0.30311190619750833,0.5714285714285714,9
0.03,10.0,5,0,0.09704438538893548,0.2998532433520671,0.7142857142857143,9
0.03,10.0,5,1,0.09868725817741944,0.30129562428470724,0.7142857142857143,9
0.03,10.0,5,2,0.09593434118432104,0.29769973305942304,0.7142857142857143,9
0.03,10.0,5,3,0.09748840478002736,0.30008848560353224,0.5714285714285714,9
0.03,10.0,5,4,0.09946236549521853,0.30266743503997345,0.7142857142857143,9
0.03,10.0,6,0,0.11117576700265516,0.28452090050510337,0.42857142857142855,9
