noise_sigma,regularization,latent_index,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,3.0,3,1.0,0.2103067657808216,0.19446244417279537
0.01,3.0,3,1.0,0.22855404209027888,0.17458703486251836
0.01,3.0,4,1.0,0.13668293128289125,0.14068971290783622
0.01,3.0,4,1.0,0.21407668161673712,0.2125793954575177
0.01,3.0,4,1.0,0.18957872968531908,0.16680634885013249
0.01,3.0,4,1.0,0.1706096495991801,0.17972621364205194
0.01,3.0,4,1.0,0.14812551541368213,0.13300046879256916
0.01,3.0,4,1.0,0.16843727272468986,0.15086915190414782
0.01,3.0,4,1.0,0.1997409396673518,0.18181455247356668
0.01,3.0,4,1.0,0.13922852477939388,0.12766283607266182
0.01,3.0,4,1.0,0.1883716449010634,0.19072074555904206
0.01,3.0,4,1.0,0.19412818487249064,0.1605543359428803
0.01,3.0,5,1.0,0.27319806049754264,1.8348287824269023
0.01,3.0,5,1.0,0.2344692658639965,1.9132626737670817
0.01,3.0,5,1.0,0.19160827407435124,1.8673329047158371
0.01,3.0,5,1.0,0.1998951674653482,2.403080912113164
0.01,3.0,5,1.0,0.21022807801873114,0.19620788245688817
0.01,3.0,5,1.0,0.18942417267725545,0.165756251199052
0.01,3.0,5,1.0,0.2558192967334926,1.4575781400611103
0.01,3.0,5,1.0,0.1550766123360261,0.1229505074595815
0.01,3.0,5,1.0,0.1708348316244078,1.5020734481183753
0.01,3.0,5,1.0,0.21735123033425777,1.448567596484076
0.01,3.0,6,1.0,0.20342026753303474,0.17266703685176227
0.01,3.0,6,1.0,0.15918729557549996,0.08780264930751377
0.01,3.0,6,1.0,0.20735493948235226,0.21737281885179427
0.01,3.0,6,1.0,0.17060958428910866,0.1399217811085603
0.01,3.0,6,1.0,0.18654563981349254,0.1855630112034109
0.01,3.0,6,1.0,0.13595192748859103,0.13758184453141678
0.01,3.0,6,1.0,0.1976874984216049,0.15434145573746733
0.01,3.0,6,1.0,0.21429109376711106,0.24380112364736697
0.01,3.0,6,1.0,0.23904237935070702,0.1901729684514905
0.01,3.0,6,1.0,0.220602872075309,0.1887452520262421
0.01,3.0,7,1.0,0.17821285940822726,0.1664442428640823
0.01,3.0,7,1.0,0.2025503362339449,0.17111941608763087
0.01,3.0,7,1.0,0.25394559180177356,0.20605619226364497
0.01,3.0,7,1.0,0.2574092464659269,0.25278789741103197
0.01,3.0,7,1.0,0.19060358799347074,0.17246665160934804
0.01,3.0,7,1.0,0.19684205538571248,0.15481336198972417
0.01,3.0,7,1.0,0.13463009616413044,0.1433394999726362
0.01,3.0,7,1.0,0.2020865308177624,0.17974343386491223
0.01,3.0,7,1.0,0.22311817173868556,0.21011015492945528
0.01,3.0,7,1.0,0.20031547188005622,0.18833213200713037
0.01,10.0,0,1.0,0.1753365398556384,0.16586838648531893
0.01,10.0,0,1.0,0.2986368067436869,0.3003825313822084
0.01,10.0,0,1.0,0.13971925196776636,0.12013025494650899
0.01,10.0,0,1.0,0.16934906411394143,0.17079296652980047
0.01,10.0,0,1.0,0.1460914094350291,0.14553029687150112
0.01,10.0,0,1.0,0.12593290080079658,0.12738808319166298
