dataset,assignment,train_size,test_size,length,class_count,method,accuracy,balanced_accuracy,macro_f1,transform_seconds,head_fit_seconds,head_predict_seconds,feature_count,representation_seconds
ProximalPhalanxTW,discovery,400,205,80,6,hcrd_minirocket,0.8195121951219512,0.5267412935323383,0.5110295646215738,0.20677940000314265,0.24269009998533875,0.006929100025445223,9996,23.095242899958976
ProximalPhalanxTW,discovery,400,205,80,6,hcrd_energy,0.7414634146341463,0.41007462686567164,0.40067647612404644,0.0,0.02515129989478737,0.0005042999982833862,85,23.095242899958976
ProximalPhalanxTW,discovery,400,205,80,6,hcrd_structure,0.751219512195122,0.41672885572139307,0.4071012924273794,0.0,0.09179249999579042,0.0010409000096842647,595,23.095242899958976
ProximalPhalanxTW,discovery,400,205,80,6,hcrd_hybrid,0.8097560975609757,0.5184079601990049,0.5003416225579534,0.20677940000314265,0.23736260004807264,0.014809799962677062,10591,23.095242899958976
ScreenType,discovery,375,375,720,3,raw_minirocket,0.47733333333333333,0.47733333333333333,0.47100143298059965,0.3713096999563277,0.19517709990032017,0.01402960007544607,9996,0.03602110000792891
ScreenType,discovery,375,375,720,3,wavelet_minirocket,0.48,0.48,0.47738660534413463,1.9206549000227824,0.21991769992746413,0.01292400003876537,9996,0.509839899954386
ScreenType,discovery,375,375,720,3,hcrd_minirocket,0.48,0.48,0.47891611095783276,2.1908410999458283,0.2196548000210896,0.013243000023066998,9996,26.03131770004984
ScreenType,discovery,375,375,720,3,hcrd_energy,0.38666666666666666,0.3866666666666667,0.3792040133465833,0.0,0.026524499990046024,0.0005793999880552292,85,26.03131770004984
ScreenType,discovery,375,375,720,3,hcrd_structure,0.464,0.46399999999999997,0.46487808989530777,0.0,0.08421800006181002,0.0019563999958336353,595,26.03131770004984
ScreenType,discovery,375,375,720,3,hcrd_hybrid,0.5066666666666667,0.5066666666666667,0.5056886121277976,2.1908410999458283,0.16712980007287115,0.021025200025178492,10591,26.03131770004984
SemgHandGenderCh2,discovery,300,600,1500,2,raw_minirocket,0.9183333333333333,0.9152014652014653,0.9111135297905726,0.8766146999550983,0.1613168999319896,0.03215510002337396,9996,0.04717280005570501
SemgHandGenderCh2,discovery,300,600,1500,2,wavelet_minirocket,0.9216666666666666,0.9188644688644689,0.9147415489827941,11.876033099950291,0.1443313000490889,0.017483699950389564,9996,0.4517638999968767
SemgHandGenderCh2,discovery,300,600,1500,2,hcrd_minirocket,0.8333333333333334,0.8212454212454212,0.8184107307152195,12.851582500035875,0.15020520007237792,0.017844200017862022,9996,62.686619699932635
SemgHandGenderCh2,discovery,300,600,1500,2,hcrd_energy,0.7333333333333333,0.7355311355311356,0.7206183646861613,0.0,0.0270499000325799,0.0011626000050455332,85,62.686619699932635
SemgHandGenderCh2,discovery,300,600,1500,2,hcrd_structure,0.74,0.7120879120879121,0.7130102040816326,0.0,0.05958569992799312,0.003300399985164404,595,62.686619699932635
SemgHandGenderCh2,discovery,300,600,1500,2,hcrd_hybrid,0.84,0.8307692307692308,0.8263888888888888,12.851582500035875,0.12972620001528412,0.03179249993991107,10591,62.686619699932635
SemgHandMovementCh2,discovery,450,450,1500,6,raw_minirocket,0.62,0.62,0.6199390025782178,1.2088519999524578,0.3506391999544576,0.020572799956426024,9996,0.05024410004261881
