record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_successful_onset_absolute_error_ms,mean_successful_offset_absolute_error_ms,mean_successful_duration_absolute_error_ms
sel31,derivative_threshold,30,0.0,30.133333333333333,30.8,29.466666666666665,50.4
sel31,official_pu0,30,0.0,14.933333333333334,14.933333333333334,14.933333333333334,12.0
sel31,official_pu1,30,0.0,12.4,19.466666666666665,5.333333333333333,24.266666666666666
sel232,hcrd_quadratic,30,0.0,38.2,17.2,59.2,42.53333333333333
sel232,hcrd_gaussian,30,0.0,39.733333333333334,16.4,63.06666666666667,49.6
sel232,hcrd_raw,30,0.06666666666666665,43.2,12.142857142857142,57.57142857142857,65.71428571428571
sel232,derivative_threshold,30,0.23333333333333328,66.46666666666667,7.304347826086956,68.69565217391305,66.26086956521739
sel232,official_pu0,30,0.0,18.2,26.4,10.0,29.466666666666665
sel232,official_pu1,30,0.0,13.733333333333333,10.266666666666667,17.2,22.133333333333333
sel16786,hcrd_quadratic,30,0.0,18.333333333333332,11.333333333333334,25.333333333333332,16.666666666666668
sel16786,hcrd_gaussian,30,0.0,36.8,12.533333333333333,61.06666666666667,51.46666666666667
sel16786,hcrd_raw,30,0.06666666666666665,21.266666666666666,11.571428571428571,11.142857142857142,17.285714285714285
sel16786,derivative_threshold,30,0.19999999999999996,45.4,18.0,15.5,10.5
sel16786,official_pu0,30,0.0,6.2,5.466666666666667,6.933333333333334,9.733333333333333
sel16786,official_pu1,30,0.0,10.2,13.466666666666667,6.933333333333334,16.933333333333334
sel36,hcrd_quadratic,31,0.0,31.225806451612904,10.064516129032258,52.38709677419355,46.45161290322581
sel36,hcrd_gaussian,31,0.0,32.45161290322581,13.67741935483871,51.225806451612904,45.29032258064516
sel36,hcrd_raw,31,0.032258064516129004,64.45161290322581,35.2,87.33333333333333,122.0
sel36,derivative_threshold,31,0.0,59.61290322580645,32.0,87.2258064516129,117.16129032258064
sel36,official_pu0,31,0.0,23.870967741935484,12.387096774193548,35.354838709677416,32.774193548387096
sel36,official_pu1,31,0.0,16.580645161290324,27.612903225806452,5.548387096774194,27.741935483870968
sel37,hcrd_quadratic,50,0.0,28.8,38.08,19.52,37.92
sel37,hcrd_gaussian,50,0.0,29.6,39.68,19.52,34.24
sel37,hcrd_raw,50,0.36,80.48,54.25,17.25,64.75
sel37,derivative_threshold,50,0.09999999999999998,46.16,50.13333333333333,16.88888888888889,52.266666666666666
sel37,official_pu0,50,0.0,19.6,23.68,15.52,30.88
sel37,official_pu1,50,0.0,21.0,26.0,16.0,32.24
