record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_onset_absolute_error_ms,mean_offset_absolute_error_ms
sele0104,official_pu1,30,0.0,7.466666666666667,9.866666666666667,5.066666666666666
sele0104,pilot_constant,30,0.0,8.533333333333333,4.933333333333334,12.133333333333333
sele0110,learned_level1,30,0.0,12.733333333333333,6.4,19.066666666666666
sele0110,learned_multilevel,30,0.0,13.333333333333334,9.733333333333333,16.933333333333334
sele0110,official_pu0,30,0.0,14.6,22.133333333333333,7.066666666666666
sele0110,official_pu1,30,0.0,7.6,5.066666666666666,10.133333333333333
sele0110,pilot_constant,30,0.0,17.6,10.133333333333333,25.066666666666666
sele0111,learned_level1,30,0.0,14.4,11.466666666666667,17.333333333333332
sele0111,learned_multilevel,30,0.0,14.733333333333333,9.466666666666667,20.0
sele0111,official_pu0,30,0.0,24.2,8.933333333333334,39.46666666666667
sele0111,official_pu1,30,0.0,6.333333333333333,7.066666666666666,5.6
sele0111,pilot_constant,30,0.0,11.066666666666666,8.266666666666667,13.866666666666667
sele0112,learned_level1,50,0.0,10.8,12.0,9.6
sele0112,learned_multilevel,50,0.0,9.12,7.04,11.2
sele0112,official_pu0,50,0.0,12.96,11.52,14.4
sele0112,official_pu1,50,0.020000000000000018,17.2,8.16326530612245,20.408163265306122
sele0112,pilot_constant,50,0.0,7.68,4.48,10.88
sele0122,learned_level1,30,0.0,5.4,4.8,6.0
sele0122,learned_multilevel,30,0.0,4.466666666666667,3.8666666666666667,5.066666666666666
sele0122,official_pu0,30,0.0,6.6,7.733333333333333,5.466666666666667
sele0122,official_pu1,30,0.0,13.466666666666667,14.933333333333334,12.0
sele0122,pilot_constant,30,0.0,10.933333333333334,14.533333333333333,7.333333333333333
sele0126,learned_level1,30,0.0,11.4,9.333333333333334,13.466666666666667
sele0126,learned_multilevel,30,0.0,9.6,7.466666666666667,11.733333333333333
sele0126,official_pu0,30,0.0,6.533333333333333,7.6,5.466666666666667
sele0126,official_pu1,30,0.0,9.4,8.133333333333333,10.666666666666666
sele0126,pilot_constant,30,0.0,12.866666666666667,11.466666666666667,14.266666666666667
sele0129,learned_level1,30,0.0,8.2,7.2,9.2
sele0129,learned_multilevel,30,0.0,7.4,7.866666666666666,6.933333333333334
sele0129,official_pu0,30,0.0,16.2,11.2,21.2
sele0129,official_pu1,30,0.0,12.266666666666667,18.0,6.533333333333333
sele0129,pilot_constant,30,0.0,7.4,8.133333333333333,6.666666666666667
sele0133,learned_level1,30,0.0,8.8,8.0,9.6
sele0133,learned_multilevel,30,0.0,7.333333333333333,8.133333333333333,6.533333333333333
sele0133,official_pu0,30,0.0,13.0,8.8,17.2
sele0133,official_pu1,30,0.0,8.066666666666666,8.133333333333333,8.0
sele0133,pilot_constant,30,0.0,8.533333333333333,10.8,6.266666666666667
sele0166,learned_level1,36,0.0,14.722222222222221,7.666666666666667,21.77777777777778
sele0166,learned_multilevel,36,0.0,16.0,8.666666666666666,23.333333333333332
sele0166,official_pu0,36,0.02777777777777779,33.94444444444444,31.085714285714285,29.6
sele0166,official_pu1,36,0.0,9.5,12.777777777777779,6.222222222222222
sele0166,pilot_constant,36,0.0,14.277777777777779,10.555555555555555,18.0
sele0170,learned_level1,30,0.0,5.0,6.666666666666667,3.3333333333333335
sele0170,learned_multilevel,30,0.0,6.533333333333333,8.666666666666666,4.4
sele0170,official_pu0,30,0.0,6.733333333333333,7.2,6.266666666666667
sele0170,official_pu1,30,0.0,6.6,10.666666666666666,2.533333333333333
sele0170,pilot_constant,30,0.0,10.866666666666667,15.466666666666667,6.266666666666667
sele0203,learned_level1,30,0.0,8.466666666666667,9.466666666666667,7.466666666666667
sele0203,learned_multilevel,30,0.0,8.533333333333333,9.066666666666666,8.0
sele0203,official_pu0,30,0.0,9.6,9.066666666666666,10.133333333333333
sele0203,official_pu1,30,0.0,15.2,10.266666666666667,20.133333333333333
sele0203,pilot_constant,30,0.0,6.866666666666666,6.4,7.333333333333333
sele0210,learned_level1,30,0.0,21.533333333333335,6.133333333333334,36.93333333333333
sele0210,learned_multilevel,30,0.0,15.866666666666667,5.866666666666666,25.866666666666667
sele0210,official_pu0,30,0.0,11.6,9.733333333333333,13.466666666666667
sele0210,official_pu1,30,0.0,10.533333333333333,11.866666666666667,9.2
sele0210,pilot_constant,30,0.0,9.866666666666667,5.2,14.533333333333333
sele0211,learned_level1,30,0.0,27.066666666666666,10.266666666666667,43.86666666666667
sele0211,learned_multilevel,30,0.0,23.4,9.066666666666666,37.733333333333334
sele0211,official_pu0,30,0.0,7.8,6.0,9.6
sele0211,official_pu1,30,0.0,10.0,6.133333333333334,13.866666666666667
sele0211,pilot_constant,30,0.0,12.733333333333333,6.133333333333334,19.333333333333332
