record,beat_index,method,success,onset_error_ms,offset_error_ms,joint_absolute_error_ms
sel14157,20,learned_level1,1,0.0,4.0,2.0
sel14157,20,learned_multilevel,1,0.0,0.0,0.0
sel14157,20,official_pu0,1,-8.0,8.0,8.0
sel14157,20,official_pu1,1,20.0,12.0,16.0
sel14157,21,pilot_constant,1,20.0,-20.0,20.0
sel14157,21,learned_level1,1,12.0,-8.0,10.0
sel14157,21,learned_multilevel,1,16.0,-12.0,14.0
sel14157,21,official_pu0,1,4.0,0.0,2.0
sel14157,21,official_pu1,1,8.0,0.0,4.0
sel14157,22,pilot_constant,1,8.0,-24.0,16.0
sel14157,22,learned_level1,1,0.0,-12.0,6.0
sel14157,22,learned_multilevel,1,-4.0,-16.0,10.0
sel14157,22,official_pu0,1,-4.0,-4.0,4.0
sel14157,22,official_pu1,1,20.0,-4.0,12.0
sel14157,23,pilot_constant,1,8.0,-24.0,16.0
sel14157,23,learned_level1,1,0.0,-12.0,6.0
sel14157,23,learned_multilevel,1,8.0,-16.0,12.0
sel14157,23,official_pu0,1,-16.0,0.0,8.0
sel14157,23,official_pu1,1,0.0,-4.0,2.0
sel14157,24,pilot_constant,1,0.0,-20.0,10.0
sel14157,24,learned_level1,1,-12.0,-8.0,10.0
sel14157,24,learned_multilevel,1,-12.0,-12.0,12.0
sel14157,24,official_pu0,1,-16.0,-4.0,10.0
sel14157,24,official_pu1,1,12.0,-4.0,8.0
sel14157,25,pilot_constant,1,8.0,-16.0,12.0
sel14157,25,learned_level1,1,0.0,-8.0,4.0
sel14157,25,learned_multilevel,1,-4.0,-12.0,8.0
sel14157,25,official_pu0,1,-32.0,-4.0,18.0
sel14157,25,official_pu1,1,16.0,-4.0,10.0
sel14157,26,pilot_constant,1,0.0,-24.0,12.0
sel14157,26,learned_level1,1,-8.0,-4.0,6.0
sel14157,26,learned_multilevel,1,-12.0,-12.0,12.0
sel14157,26,official_pu0,1,-16.0,0.0,8.0
sel14157,26,official_pu1,1,-8.0,-4.0,6.0
sel14157,27,pilot_constant,1,20.0,-16.0,18.0
sel14157,27,learned_level1,1,8.0,-8.0,8.0
sel14157,27,learned_multilevel,1,12.0,-8.0,10.0
sel14157,27,official_pu0,1,0.0,0.0,0.0
sel14157,27,official_pu1,1,28.0,0.0,14.0
sel14157,28,pilot_constant,1,8.0,-28.0,18.0
sel14157,28,learned_level1,1,-4.0,-20.0,12.0
sel14157,28,learned_multilevel,1,4.0,-16.0,10.0
sel14157,28,official_pu0,1,-16.0,-4.0,10.0
sel14157,28,official_pu1,1,20.0,-4.0,12.0
sel14157,29,pilot_constant,1,32.0,-16.0,24.0
sel14157,29,learned_level1,1,20.0,-8.0,14.0
sel14157,29,learned_multilevel,1,20.0,-8.0,14.0
sel14157,29,official_pu0,1,12.0,0.0,6.0
sel14157,29,official_pu1,1,40.0,0.0,20.0
sel231,0,pilot_constant,1,12.0,-24.0,18.0
sel231,0,learned_level1,1,12.0,-8.0,10.0
sel231,0,learned_multilevel,1,12.0,-16.0,14.0
sel231,0,official_pu0,1,-4.0,-12.0,8.0
sel231,0,official_pu1,1,-16.0,-16.0,16.0
sel231,1,pilot_constant,1,0.0,0.0,0.0
sel231,1,learned_level1,1,4.0,12.0,8.0
sel231,1,learned_multilevel,1,0.0,4.0,2.0
sel231,1,official_pu0,1,-4.0,12.0,8.0
sel231,1,official_pu1,1,-16.0,12.0,14.0
sel231,2,pilot_constant,1,-4.0,-16.0,10.0
sel231,2,learned_level1,1,-4.0,-4.0,4.0
sel231,2,learned_multilevel,1,-8.0,-8.0,8.0
sel231,2,official_pu0,1,-8.0,-4.0,6.0
sel231,2,official_pu1,1,-20.0,0.0,10.0
sel231,3,pilot_constant,1,-4.0,-16.0,10.0
sel231,3,learned_level1,1,-4.0,-4.0,4.0
