cell,signal,design,n,trial,method,target_left,target_right,confidence_left,confidence_right,confidence_width,covers_target,nontrivial,empty,joint_contrast_coverage,unexplained_empty,scale_upper,scale_ratio,scale_covers
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,34,unknown_block_2,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.11593260979211657,1.1593260979211657,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,35,known_sigma,0.3,0.3,0.24151696606786427,0.2315369261477046,nan,False,False,True,False,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,35,unknown_block_2,0.3,0.3,0.20958083832335328,0.2315369261477046,0.021956087824351322,False,True,False,False,False,0.10967097504970051,1.0967097504970051,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,36,known_sigma,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,36,unknown_block_2,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,True,False,True,False,0.11271892992501961,1.127189299250196,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,37,known_sigma,0.3,0.3,0.7145708582834331,0.36726546906187624,nan,False,False,True,False,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,37,unknown_block_2,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,True,True,False,True,False,0.11638936049101943,1.1638936049101942,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,38,known_sigma,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,38,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.11584615439714901,1.15846154397149,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,39,known_sigma,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,39,unknown_block_2,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,True,False,True,False,0.10717859163821179,1.071785916382118,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,40,known_sigma,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,40,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.10729537732158839,1.0729537732158838,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,41,known_sigma,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,41,unknown_block_2,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,True,False,True,False,0.11275642421874538,1.1275642421874537,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,42,known_sigma,0.3,0.3,0.27345309381237526,0.4151696606786427,0.14171656686626743,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,42,unknown_block_2,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,True,False,True,False,0.11451163559646353,1.1451163559646353,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,43,known_sigma,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,43,unknown_block_2,0.3,0.3,0.20958083832335328,0.4311377245508982,0.22155688622754494,True,True,False,True,False,0.12011293090732451,1.201129309073245,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,44,known_sigma,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,44,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.11052125968654652,1.1052125968654651,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,45,known_sigma,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,45,unknown_block_2,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,True,False,True,False,0.11077296992815698,1.1077296992815697,True
